codegeo,libgeo,dcomiris,lib_iris,type_iris,au,lib_au,uu,dep,agri,articom,cadres,profint,employes,ouvriers,actifs,proprietai,locpriv,hlm,gratuit,logements,no_diploma,brevet,cap_bep,bac,bac_2,bac_3_4,bac_5,pop_noscol,p_agri,p_articom,p_cadres,p_profint,p_employes,p_ouvriers,p_propriet,p_locpriv,p_hlm,p_gratuit,p_nodiplom,p_brevet,p_cap_bep,p_bac,p_bac_2,p_bac_3_4,p_bac_5
"69386",Lyon 6e Arrondissement,"693860201",Puvis de Chavannes,H,"002",Lyon,UU00758,"69","0","79","532","268","147","24","1050","536","545","7","30","1118","87","59","91","188","213","230","711","1579",0.000000000000000,7.523809000000000,50.666670000000003,25.523810000000001,14.000000000000000,2.285714000000000,47.942760000000000,48.747760000000000,0.626118100000000,2.683363000000000,5.509816000000000,3.736542000000000,5.763141000000000,11.906269999999999,13.489549999999999,14.566179999999999,45.028500000000001
"69385",Lyon 5e Arrondissement,"693850202",La Sarra,H,"002",Lyon,UU00758,"69","0","22","218","164","187","70","661","188","197","245","21","651","277","33","109","144","96","177","245","1081",0.000000000000000,3.328290000000000,32.980330000000002,24.810890000000001,28.290469999999999,10.590020000000001,28.878650000000000,30.261140000000001,37.634410000000003,3.225806000000000,25.624420000000001,3.052729000000000,10.083259999999999,13.321000000000000,8.880666000000000,16.373729999999998,22.664200000000001
"69387",Lyon 7e Arrondissement,"693870103",Centre Berthelot,H,"002",Lyon,UU00758,"69","0","36","498","470","283","111","1398","321","1202","81","39","1643","105","54","149","181","172","281","574","1517",0.000000000000000,2.575107000000000,35.622320000000002,33.619459999999997,20.243200000000002,7.939914000000000,19.537430000000001,73.158860000000004,4.930006000000000,2.373707000000000,6.921556000000000,3.559657000000000,9.822017000000001,11.931440000000000,11.338170000000000,18.523399999999999,37.837840000000000
"69385",Lyon 5e Arrondissement,"693850401",Debrousse,A,"002",Lyon,UU00758,"69","0","23","117","74","69","21","304","89","129","47","4","269","24","28","45","120","40","89","134","479",0.000000000000000,7.565790000000000,38.486840000000001,24.342110000000002,22.697369999999999,6.907895000000000,33.085500000000003,47.955390000000001,17.472120000000000,1.486989000000000,5.010438000000000,5.845511000000000,9.394572000000000,25.052190000000000,8.350731000000000,18.580380000000002,27.974950000000000
"69383",Lyon 3e Arrondissement,"693830602",Dauphine-Montluc,H,"002",Lyon,UU00758,"69","0","65","493","525","574","224","1881","444","996","528","38","2007","409","114","344","412","243","316","552","2389",0.000000000000000,3.455609000000000,26.209460000000000,27.910689999999999,30.515680000000000,11.908560000000000,22.122570000000000,49.626309999999997,26.307919999999999,1.893373000000000,17.120130000000000,4.771871000000000,14.399330000000001,17.245709999999999,10.171620000000001,13.227290000000000,23.105899999999998
"69385",Lyon 5e Arrondissement,"693850204",Radisson-Choulans,H,"002",Lyon,UU00758,"69","0","98","278","247","203","75","901","420","393","46","34","893","132","71","129","132","197","258","394","1312",0.000000000000000,10.876799999999999,30.854610000000001,27.413979999999999,22.530519999999999,8.324083999999999,47.032470000000004,44.008960000000002,5.151176000000000,3.807391000000000,10.060980000000001,5.411585000000000,9.832317000000000,10.060980000000001,15.015240000000000,19.664629999999999,30.030490000000000
"69385",Lyon 5e Arrondissement,"693850103",Saint-Georges,H,"002",Lyon,UU00758,"69","0","97","440","366","233","90","1226","319","746","143","32","1240","149","22","115","175","176","254","544","1435",0.000000000000000,7.911909000000000,35.889069999999997,29.853179999999998,19.004890000000000,7.340946000000000,25.725809999999999,60.161290000000001,11.532260000000001,2.580645000000000,10.383279999999999,1.533101000000000,8.013937000000000,12.195119999999999,12.264810000000001,17.700350000000000,37.909410000000001
"69386",Lyon 6e Arrondissement,"693860304",Les Brotteaux,H,"002",Lyon,UU00758,"69","0","55","743","444","242","61","1545","561","966","17","52","1596","135","64","143","256","196","376","788","1957",0.000000000000000,3.559870000000000,48.090609999999998,28.737860000000001,15.663430000000000,3.948220000000000,35.150379999999998,60.526319999999998,1.065163000000000,3.258145000000000,6.898314000000000,3.270312000000000,7.307103000000000,13.081250000000001,10.015330000000001,19.213080000000001,40.265709999999999
"69385",Lyon 5e Arrondissement,"693850104",Quarantaine-Les Étroits,H,"002",Lyon,UU00758,"69","0","57","457","391","317","136","1358","355","819","190","32","1396","157","25","185","182","202","285","508","1545",0.000000000000000,4.197349000000000,33.652430000000003,28.792339999999999,23.343150000000001,10.014730000000000,25.429800000000000,58.667619999999999,13.610320000000000,2.292264000000000,10.161809999999999,1.618123000000000,11.974110000000000,11.779930000000000,13.074430000000000,18.446600000000000,32.880260000000000
"69385",Lyon 5e Arrondissement,"693850603",La Garde,H,"002",Lyon,UU00758,"69","0","49","265","298","209","72","893","609","294","0","21","924","121","83","210","254","211","197","288","1364",0.000000000000000,5.487122000000000,29.675249999999998,33.370660000000001,23.404250000000001,8.062709999999999,65.909090000000006,31.818180000000002,0.000000000000000,2.272727000000000,8.870968000000000,6.085044000000000,15.395890000000000,18.621700000000001,15.469210000000000,14.442810000000000,21.114370000000001
