;code_aav;lib_aav;niveau;num_etab;tres_fav;fav;moyen;defav;tot;p_tres_fav;p_fav;p_moyen;p_defav;Session;Type_etab;Patronyme;Secteur;Commune;Libel_Comm;Code_dept;Libel_dept;Code_acad;Libel_acad;Code_reg;Libel_reg;Inscrits;Presents;Admis;Admis_ssM;Nb_Mention_AB;Admis_MB;Admis_Tb;TX_reussite;Tx-ment_TB;Rentree_Scol;REP;REP +;Nb_tot;Nbss_Segpa_ULIS;Nb_Segpa
1;2;Lyon;college;0010041P;270;175;188;211;844;32;21;22;25;2020;COLLEGE;VAUGELAS;PUBLIC;1244;MEXIMIEUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;210;210;199;23;46;56;74;95;35;2019;0;0;896;809;76
2;2;Lyon;college;0010041P;270;175;188;211;844;32;21;22;25;2020;COLLEGE;VAUGELAS;PUBLIC;1244;MEXIMIEUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;210;210;199;23;46;56;74;95;35;2020;0;0;964;874;79
3;2;Lyon;college;0010066S;299;109;164;170;742;40;15;22;23;2020;COLLEGE;JEAN MOULIN;PUBLIC;1427;TREVOUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;148;148;145;14;26;46;59;98;40;2020;0;0;752;752;0
4;2;Lyon;college;0010066S;299;109;164;170;742;40;15;22;23;2020;COLLEGE;JEAN MOULIN;PUBLIC;1427;TREVOUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;148;148;145;14;26;46;59;98;40;2019;0;0;718;718;0
5;2;Lyon;college;0010083K;221;163;195;144;723;31;23;27;20;2020;COLLEGE;SAINT LOUIS;PRIVE;1142;DAGNEUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;162;162;159;34;27;63;35;98;22;2019;0;0;712;712;0
6;2;Lyon;college;0010083K;221;163;195;144;723;31;23;27;20;2020;COLLEGE;SAINT LOUIS;PRIVE;1142;DAGNEUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;162;162;159;34;27;63;35;98;22;2020;0;0;725;725;0
7;2;Lyon;college;0010097A;254;100;177;61;592;43;17;30;10;2020;COLLEGE;LA SIDOINE;PRIVE;1427;TREVOUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;108;108;108;18;31;39;20;100;19;2020;0;0;601;601;0
8;2;Lyon;college;0010097A;254;100;177;61;592;43;17;30;10;2020;COLLEGE;LA SIDOINE;PRIVE;1427;TREVOUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;108;108;108;18;31;39;20;100;19;2019;0;0;567;567;0
9;2;Lyon;college;0010796K;239;109;173;195;716;33;15;24;27;2020;COLLEGE;EMILE CIZAIN;PUBLIC;1262;MONTLUEL;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;154;154;140;26;30;35;49;91;32;2020;0;0;722;712;0
10;2;Lyon;college;0010796K;239;109;173;195;716;33;15;24;27;2020;COLLEGE;EMILE CIZAIN;PUBLIC;1262;MONTLUEL;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;154;154;140;26;30;35;49;91;32;2019;0;0;698;686;0
11;2;Lyon;college;0010939R;125;94;165;160;544;23;17;30;29;2020;COLLEGE;LEON COMAS;PUBLIC;1443;VILLARS-LES-DOMBES;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;127;127;122;19;22;45;36;96;28;2019;0;0;548;537;0
12;2;Lyon;college;0010939R;125;94;165;160;544;23;17;30;29;2020;COLLEGE;LEON COMAS;PUBLIC;1443;VILLARS-LES-DOMBES;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;127;127;122;19;22;45;36;96;28;2020;0;0;581;570;0
13;2;Lyon;college;0010964T;189;56;96;121;462;41;12;21;26;2020;COLLEGE;ANNE FRANK;PUBLIC;1249;MIRIBEL;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;122;122;116;19;24;28;45;95;37;2020;0;0;541;485;56
14;2;Lyon;college;0010964T;189;56;96;121;462;41;12;21;26;2020;COLLEGE;ANNE FRANK;PUBLIC;1249;MIRIBEL;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;122;122;116;19;24;28;45;95;37;2019;0;0;531;477;54
15;2;Lyon;college;0011142L;121;57;184;123;485;25;12;38;25;2020;COLLEGE;MARCEL AYME;PUBLIC;1142;DAGNEUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;113;113;103;16;20;18;49;91;43;2019;0;0;502;502;0
16;2;Lyon;college;0011142L;121;57;184;123;485;25;12;38;25;2020;COLLEGE;MARCEL AYME;PUBLIC;1142;DAGNEUX;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;113;113;103;16;20;18;49;91;43;2020;0;0;510;510;0
17;2;Lyon;college;0011151W;167;78;68;20;333;50;23;20;6;2020;COLLEGE;SAINT JOSEPH;PRIVE;1249;MIRIBEL;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;81;81;79;6;26;32;15;98;19;2019;0;0;334;334;0
18;2;Lyon;college;0011151W;167;78;68;20;333;50;23;20;6;2020;COLLEGE;SAINT JOSEPH;PRIVE;1249;MIRIBEL;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;81;81;79;6;26;32;15;98;19;2020;0;0;334;334;0
19;2;Lyon;college;0011193S;139;73;131;139;482;29;15;27;29;2020;COLLEGE;LEON-MARIE FOURNET;PUBLIC;1194;JASSANS-RIOTTIER;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;139;139;114;25;29;38;22;82;16;2019;0;0;541;478;60
20;2;Lyon;college;0011193S;139;73;131;139;482;29;15;27;29;2020;COLLEGE;LEON-MARIE FOURNET;PUBLIC;1194;JASSANS-RIOTTIER;1;AIN;10;LYON;1;AUVERGNE-RHONE-ALPES;139;139;114;25;29;38;22;82;16;2020;0;0;551;476;61
